Starting benchmark...
Initializing database schema...
creating new srmap
creating new srmap
Populating classes...
Populating posts... with 1000000
Inserted 11000 Role in 0.01s (769856.24 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.00s (363499.03 PUTs/sec)!
Inserted 1000 Class in 0.00s (373201.59 PUTs/sec)!
Inserted 1000000 Post in 3.00s (333693.89 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 0.29s!
Migration 1 took 0.15s!
Migration 2 took 0.15s!
Migration 3 took 0.15s!
Migration 4 took 0.15s!
Migration 5 took 0.16s!
Migration 6 took 0.16s!
Migration 7 took 0.15s!
Migration 8 took 0.15s!
Migration 9 took 0.15s!
Migration 10 took 0.15s!
Migration 11 took 0.16s!
Migration 12 took 0.15s!
Migration 13 took 0.15s!
Migration 14 took 0.15s!
Migration 15 took 0.17s!
Migration 16 took 0.16s!
Migration 17 took 0.15s!
Migration 18 took 0.16s!
Migration 19 took 0.15s!
Migration 20 took 0.15s!
Migration 21 took 0.15s!
Migration 22 took 0.15s!
Migration 23 took 0.15s!
Migration 24 took 0.15s!
Migration 25 took 0.15s!
Migration 26 took 0.17s!
Migration 27 took 0.16s!
Migration 28 took 0.15s!
Migration 29 took 0.15s!
Migration 30 took 0.15s!
Migration 31 took 0.15s!
Migration 32 took 0.16s!
Migration 33 took 0.15s!
Migration 34 took 0.15s!
Migration 35 took 0.16s!
Migration 36 took 0.16s!
Migration 37 took 0.16s!
Migration 38 took 0.15s!
Migration 39 took 0.16s!
Migration 40 took 0.16s!
Migration 41 took 0.16s!
Migration 42 took 0.16s!
Migration 43 took 0.16s!
Migration 44 took 0.16s!
Migration 45 took 0.16s!
Migration 46 took 0.16s!
Migration 47 took 0.16s!
Migration 48 took 0.16s!
Migration 49 took 0.16s!
Migration 50 took 0.16s!
Migration 51 took 0.16s!
Migration 52 took 0.16s!
Migration 53 took 0.16s!
Migration 54 took 0.16s!
Migration 55 took 0.16s!
Migration 56 took 0.16s!
Migration 57 took 0.16s!
Migration 58 took 0.16s!
Migration 59 took 0.17s!
Migration 60 took 0.16s!
Migration 61 took 0.16s!
Migration 62 took 0.16s!
Migration 63 took 0.16s!
Migration 64 took 0.16s!
Migration 65 took 0.16s!
Migration 66 took 0.17s!
Migration 67 took 0.16s!
Migration 68 took 0.16s!
Migration 69 took 0.16s!
Migration 70 took 0.16s!
Migration 71 took 0.16s!
Migration 72 took 0.16s!
Migration 73 took 0.16s!
Migration 74 took 0.16s!
Migration 75 took 0.17s!
Migration 76 took 0.16s!
Migration 77 took 0.17s!
Migration 78 took 0.17s!
Migration 79 took 0.17s!
Migration 80 took 0.17s!
Migration 81 took 0.16s!
Migration 82 took 0.16s!
Migration 83 took 0.17s!
Migration 84 took 0.16s!
Migration 85 took 0.17s!
Migration 86 took 0.17s!
Migration 87 took 0.17s!
Migration 88 took 0.17s!
Migration 89 took 0.17s!
Migration 90 took 0.17s!
Migration 91 took 0.17s!
Migration 92 took 0.17s!
Migration 93 took 0.17s!
Migration 94 took 0.17s!
Migration 95 took 0.17s!
Migration 96 took 0.18s!
Migration 97 took 0.18s!
Migration 98 took 0.17s!
Migration 99 took 0.17s!
Migration 100 took 0.17s!
Migration 101 took 0.17s!
Migration 102 took 0.17s!
Migration 103 took 0.17s!
Migration 104 took 0.17s!
Migration 105 took 0.17s!
Migration 106 took 0.17s!
Migration 107 took 0.17s!
Migration 108 took 0.17s!
Migration 109 took 0.17s!
Migration 110 took 0.17s!
Migration 111 took 0.17s!
Migration 112 took 0.17s!
Migration 113 took 0.17s!
Migration 114 took 0.17s!
Migration 115 took 0.18s!
Migration 116 took 0.17s!
Migration 117 took 0.18s!
Migration 118 took 0.18s!
Migration 119 took 0.18s!
Migration 120 took 0.20s!
Migration 121 took 0.18s!
Migration 122 took 0.18s!
Migration 123 took 0.18s!
Migration 124 took 0.18s!
Migration 125 took 0.18s!
Migration 126 took 0.18s!
Migration 127 took 0.18s!
Migration 128 took 0.18s!
Migration 129 took 0.18s!
Migration 130 took 0.18s!
Migration 131 took 0.18s!
Migration 132 took 0.18s!
Migration 133 took 0.18s!
Migration 134 took 0.18s!
Migration 135 took 0.18s!
Migration 136 took 0.18s!
Migration 137 took 0.18s!
Migration 138 took 0.18s!
Migration 139 took 0.19s!
Migration 140 took 0.18s!
Migration 141 took 0.18s!
Migration 142 took 0.18s!
Migration 143 took 0.18s!
Migration 144 took 0.19s!
Migration 145 took 0.18s!
Migration 146 took 0.18s!
Migration 147 took 0.18s!
Migration 148 took 0.19s!
Migration 149 took 0.18s!
Migration 150 took 0.18s!
Migration 151 took 0.19s!
Migration 152 took 0.19s!
Migration 153 took 0.19s!
Migration 154 took 0.19s!
Migration 155 took 0.19s!
Migration 156 took 0.19s!
Migration 157 took 0.19s!
Migration 158 took 0.19s!
Migration 159 took 0.19s!
Migration 160 took 0.19s!
Migration 161 took 0.19s!
Migration 162 took 0.19s!
Migration 163 took 0.19s!
Migration 164 took 0.19s!
Migration 165 took 0.19s!
Migration 166 took 0.19s!
Migration 167 took 0.19s!
Migration 168 took 0.19s!
Migration 169 took 0.19s!
Migration 170 took 0.19s!
Migration 171 took 0.19s!
Migration 172 took 0.19s!
Migration 173 took 0.19s!
Migration 174 took 0.19s!
Migration 175 took 0.19s!
Migration 176 took 0.19s!
Migration 177 took 0.19s!
Migration 178 took 0.19s!
Migration 179 took 0.19s!
Migration 180 took 0.19s!
Migration 181 took 0.19s!
Migration 182 took 0.19s!
Migration 183 took 0.19s!
Migration 184 took 0.19s!
Migration 185 took 0.19s!
Migration 186 took 0.19s!
Migration 187 took 0.19s!
Migration 188 took 0.19s!
Migration 189 took 0.19s!
Migration 190 took 0.19s!
Migration 191 took 0.19s!
Migration 192 took 0.19s!
Migration 193 took 0.20s!
Migration 194 took 0.20s!
Migration 195 took 0.20s!
Migration 196 took 0.19s!
Migration 197 took 0.19s!
Migration 198 took 0.20s!
Migration 199 took 0.19s!
Migration 200 took 0.19s!
Migration 201 took 0.19s!
Migration 202 took 0.20s!
Migration 203 took 0.20s!
Migration 204 took 0.20s!
Migration 205 took 0.20s!
Migration 206 took 0.19s!
Migration 207 took 0.19s!
Migration 208 took 0.20s!
Migration 209 took 0.20s!
Migration 210 took 0.20s!
Migration 211 took 0.20s!
Migration 212 took 0.19s!
Migration 213 took 0.20s!
Migration 214 took 0.20s!
Migration 215 took 0.20s!
Migration 216 took 0.20s!
Migration 217 took 0.20s!
Migration 218 took 0.20s!
Migration 219 took 0.20s!
Migration 220 took 0.20s!
Migration 221 took 0.20s!
Migration 222 took 0.20s!
Migration 223 took 0.20s!
Migration 224 took 0.20s!
Migration 225 took 0.21s!
