Starting benchmark...
Initializing database schema...
Populating classes...
Populating posts... with 1000000
Inserted 10100 Role in 0.02s (464130.80 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.01s (82564.57 PUTs/sec)!
Inserted 100 Class in 0.00s (69440.20 PUTs/sec)!
Inserted 1000000 Post in 207.99s (4807.81 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 2.05s!
Migration 1 took 0.95s!
Migration 2 took 1.00s!
Migration 3 took 0.95s!
Migration 4 took 0.90s!
Migration 5 took 0.92s!
Migration 6 took 0.91s!
Migration 7 took 0.88s!
Migration 8 took 0.93s!
Migration 9 took 0.93s!
Migration 10 took 1.07s!
Migration 11 took 0.92s!
Migration 12 took 0.89s!
Migration 13 took 0.93s!
Migration 14 took 0.96s!
Migration 15 took 0.95s!
Migration 16 took 0.91s!
Migration 17 took 0.92s!
Migration 18 took 0.91s!
Migration 19 took 0.86s!
Migration 20 took 0.92s!
Migration 21 took 0.89s!
Migration 22 took 0.88s!
Migration 23 took 0.92s!
Migration 24 took 0.90s!
Migration 25 took 0.88s!
Migration 26 took 0.93s!
Migration 27 took 0.94s!
Migration 28 took 0.94s!
Migration 29 took 0.90s!
Migration 30 took 0.90s!
Migration 31 took 0.88s!
Migration 32 took 0.88s!
Migration 33 took 0.94s!
Migration 34 took 0.90s!
Migration 35 took 0.89s!
Migration 36 took 0.94s!
Migration 37 took 0.90s!
Migration 38 took 0.93s!
Migration 39 took 0.98s!
Migration 40 took 0.93s!
Migration 41 took 0.88s!
Migration 42 took 0.99s!
Migration 43 took 1.33s!
Migration 44 took 0.90s!
Migration 45 took 0.90s!
Migration 46 took 0.90s!
Migration 47 took 0.93s!
Migration 48 took 0.90s!
Migration 49 took 0.88s!
Migration 50 took 0.93s!
Migration 51 took 0.94s!
Migration 52 took 0.89s!
Migration 53 took 1.03s!
Migration 54 took 1.12s!
Migration 55 took 0.89s!
Migration 56 took 0.98s!
Migration 57 took 0.94s!
Migration 58 took 0.92s!
Migration 59 took 0.90s!
Migration 60 took 0.96s!
Migration 61 took 0.91s!
Migration 62 took 0.92s!
Migration 63 took 0.99s!
Migration 64 took 0.91s!
Migration 65 took 0.96s!
Migration 66 took 0.93s!
Migration 67 took 0.98s!
Migration 68 took 0.91s!
Migration 69 took 0.91s!
Migration 70 took 0.97s!
Migration 71 took 0.90s!
Migration 72 took 0.91s!
Migration 73 took 0.96s!
Migration 74 took 0.94s!
Migration 75 took 0.93s!
Migration 76 took 0.99s!
Migration 77 took 0.99s!
Migration 78 took 1.12s!
Migration 79 took 0.94s!
Migration 80 took 0.98s!
Migration 81 took 0.89s!
Migration 82 took 0.92s!
Migration 83 took 0.93s!
Migration 84 took 0.96s!
Migration 85 took 0.95s!
Migration 86 took 0.98s!
Migration 87 took 0.96s!
Migration 88 took 0.93s!
Migration 89 took 0.96s!
Migration 90 took 0.95s!
Migration 91 took 0.94s!
Migration 92 took 1.02s!
Migration 93 took 0.94s!
Migration 94 took 0.91s!
Migration 95 took 0.98s!
Migration 96 took 0.96s!
Migration 97 took 1.02s!
Migration 98 took 0.98s!
Migration 99 took 0.96s!
Migration 100 took 0.90s!
Migration 101 took 0.92s!
Migration 102 took 0.99s!
Migration 103 took 0.93s!
Migration 104 took 0.90s!
Migration 105 took 0.93s!
Migration 106 took 0.94s!
Migration 107 took 0.94s!
