Starting benchmark...
Initializing database schema...
Populating posts... with 100000
Populating classes...
Inserted 2000 Role in 2.93s (683.72 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (669.34 PUTs/sec)!
Inserted 1000 Class in 1.45s (687.47 PUTs/sec)!
Inserted 100000 Post in 129.64s (771.35 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 1429.83s!
Migration 1 took 1.43s!
Migration 2 took 1.41s!
Migration 3 took 1.41s!
Migration 4 took 1.41s!
Migration 5 took 1.40s!
Migration 6 took 1.39s!
Migration 7 took 1.39s!
Migration 8 took 1.43s!
Migration 9 took 1.40s!
Migration 10 took 1.39s!
Migration 11 took 1.41s!
Migration 12 took 1.39s!
Migration 13 took 1.40s!
Migration 14 took 1.41s!
Migration 15 took 1.42s!
Migration 16 took 1.42s!
Migration 17 took 1.43s!
Migration 18 took 1.39s!
Migration 19 took 1.41s!
Migration 20 took 1.48s!
Migration 21 took 1.41s!
Migration 22 took 1.40s!
Migration 23 took 1.45s!
Migration 24 took 1.41s!
Migration 25 took 1.43s!
Migration 26 took 1.43s!
Migration 27 took 1.40s!
Migration 28 took 1.43s!
Migration 29 took 1.43s!
Migration 30 took 1.46s!
Migration 31 took 1.43s!
Migration 32 took 1.44s!
Migration 33 took 1.42s!
Migration 34 took 1.44s!
Migration 35 took 1.50s!
Migration 36 took 1.41s!
Migration 37 took 1.46s!
Migration 38 took 1.44s!
Migration 39 took 1.45s!
Migration 40 took 1.43s!
Migration 41 took 1.43s!
Migration 42 took 1.44s!
Migration 43 took 1.43s!
Migration 44 took 1.44s!
Migration 45 took 1.45s!
Migration 46 took 1.44s!
Migration 47 took 1.45s!
Migration 48 took 1.45s!
Migration 49 took 1.47s!
Migration 50 took 1.46s!
Migration 51 took 1.44s!
Migration 52 took 1.42s!
Migration 53 took 1.46s!
Migration 54 took 1.45s!
Migration 55 took 1.45s!
Migration 56 took 1.45s!
Migration 57 took 1.50s!
Migration 58 took 1.47s!
Migration 59 took 1.49s!
Migration 60 took 1.45s!
Migration 61 took 1.44s!
Migration 62 took 1.47s!
Migration 63 took 1.48s!
Migration 64 took 1.47s!
Migration 65 took 1.46s!
Migration 66 took 1.48s!
Migration 67 took 1.48s!
Migration 68 took 1.47s!
Migration 69 took 1.49s!
Migration 70 took 1.48s!
Migration 71 took 1.46s!
Migration 72 took 1.48s!
Migration 73 took 1.49s!
Migration 74 took 1.50s!
Migration 75 took 1.49s!
Migration 76 took 1.50s!
Migration 77 took 1.51s!
Migration 78 took 1.50s!
Migration 79 took 1.49s!
Migration 80 took 1.48s!
Migration 81 took 1.50s!
Migration 82 took 1.48s!
Migration 83 took 1.51s!
Migration 84 took 1.52s!
Migration 85 took 1.51s!
Migration 86 took 1.53s!
Migration 87 took 1.51s!
Migration 88 took 1.52s!
Migration 89 took 1.51s!
Migration 90 took 1.50s!
Migration 91 took 1.50s!
Migration 92 took 1.52s!
Migration 93 took 1.50s!
Migration 94 took 1.50s!
Migration 95 took 1.52s!
Migration 96 took 1.52s!
Migration 97 took 1.51s!
Migration 98 took 1.52s!
Migration 99 took 1.52s!
Migration 100 took 1.52s!
Migration 101 took 1.52s!
Migration 102 took 1.56s!
Migration 103 took 1.59s!
Migration 104 took 1.51s!
Migration 105 took 1.53s!
Migration 106 took 1.51s!
Migration 107 took 1.51s!
Migration 108 took 1.54s!
Migration 109 took 1.54s!
Migration 110 took 1.58s!
Migration 111 took 1.53s!
Migration 112 took 1.54s!
Migration 113 took 1.52s!
Migration 114 took 1.56s!
Migration 115 took 1.56s!
Migration 116 took 1.55s!
Migration 117 took 1.57s!
Migration 118 took 1.54s!
Migration 119 took 1.57s!
Migration 120 took 1.52s!
Migration 121 took 1.59s!
Migration 122 took 1.55s!
Migration 123 took 1.55s!
Migration 124 took 1.58s!
Migration 125 took 1.58s!
Migration 126 took 1.54s!
Migration 127 took 1.58s!
Migration 128 took 1.57s!
Migration 129 took 1.57s!
Migration 130 took 1.56s!
Migration 131 took 1.56s!
Migration 132 took 1.55s!
Migration 133 took 1.56s!
Migration 134 took 1.56s!
Migration 135 took 1.57s!
Migration 136 took 1.58s!
Migration 137 took 1.57s!
Migration 138 took 1.59s!
Migration 139 took 1.60s!
Migration 140 took 1.57s!
Migration 141 took 1.58s!
Migration 142 took 1.60s!
Migration 143 took 1.60s!
Migration 144 took 1.58s!
Migration 145 took 1.59s!
Migration 146 took 1.59s!
Migration 147 took 1.60s!
Migration 148 took 1.59s!
Migration 149 took 1.57s!
Migration 150 took 1.56s!
Migration 151 took 1.59s!
Migration 152 took 1.60s!
Migration 153 took 1.59s!
Migration 154 took 1.59s!
Migration 155 took 1.66s!
Migration 156 took 1.62s!
Migration 157 took 1.60s!
Migration 158 took 1.60s!
Migration 159 took 1.73s!
Migration 160 took 1.60s!
Migration 161 took 1.61s!
Migration 162 took 1.63s!
Migration 163 took 1.61s!
Migration 164 took 1.62s!
Migration 165 took 1.61s!
Migration 166 took 1.62s!
Migration 167 took 1.63s!
Migration 168 took 1.64s!
Migration 169 took 1.63s!
Migration 170 took 1.62s!
Migration 171 took 1.65s!
Migration 172 took 1.63s!
Migration 173 took 1.67s!
Migration 174 took 1.64s!
Migration 175 took 1.66s!
Migration 176 took 1.62s!
Migration 177 took 1.64s!
Migration 178 took 1.64s!
Migration 179 took 1.67s!
Migration 180 took 1.65s!
Migration 181 took 1.64s!
Migration 182 took 1.63s!
Migration 183 took 1.68s!
Migration 184 took 1.67s!
Migration 185 took 1.69s!
Migration 186 took 1.69s!
Migration 187 took 1.67s!
Migration 188 took 1.69s!
Migration 189 took 1.68s!
Migration 190 took 1.67s!
Migration 191 took 1.69s!
Migration 192 took 1.66s!
Migration 193 took 1.66s!
Migration 194 took 1.68s!
